"You are using an <strong>outdated</strong> browser. Please <a href=""%1"" target=""_blank"" rel=""external"">upgrade your browser</a> to improve your experience","You are using an <strong>outdated</strong> browser. Please <a href=""%1"" target=""_blank"" rel=""external"">upgrade your browser</a> to improve your experience"
"Show notice if browser not supported","Show notice if browser not supported"
